..\Music\Pandemonium\Music.mp3 
Pandemonium
Memme
..\Music\Pandemonium\Note.txt
..\Music\Pandemonium\Image.jpg
7.09
965 482
1335 210 0.8
11048 210 0.82
11191 210 0.84
11334 210 0.86
11476 210 0.88
11619 210 0.90
16191 210 1.15
16334 210 1.09
16405 210 1.08
16476 210 1.07
16548 210 1.06
16619 210 1.05
16762 210 1.15
16834 210 1.14
16905 210 1.13
16976 210 1.12
17048 210 1.11
17191 210 1.20
17262 210 1.19
17334 210 1.18
17405 210 1.17
17476 210 1.16
17619 210 1.25
17691 210 1.24
17762 210 1.23
17834 210 1.22
17905 210 1.21
18191 210 0.93
18238 210 0.95
18286 210 0.97
18334 210 1.00
18476 210 1.10
18619 210 1.25
18691 210 1.23
18762 210 1.21
18834 210 1.19
18905 210 1.17
19048 210 1.30
19119 210 1.28
19191 210 1.26
19262 210 1.24
19334 210 1.22
20191 210 0.90
20549 210 0.80
25334 210 0.80
27619 210 0.85
28048 210 0.87
28095 210 0.88
28143 210 0.89
28191 210 0.90
28334 210 0.91
28476 210 0.92
28619 210 0.93
28691 210 0.94
28953 210 0.95
29000 210 0.96
29191 210 0.99
29262 210 1.00
29334 210 1.01
29476 210 1.03
29548 210 1.04
29619 210 1.05
29667 210 1.06
29714 210 1.07
29762 210 1.08
29857 210 1.09
29905 210 1.10
30191 210 1.00
36762 210 1.05  
39049 210 1.15
39476 210 1.10
39548 210 1.11
39619 210 1.12
39762 210 1.14
39834 210 1.15
39905 210 1.16
40095 210 1.15
40143 210 1.13
40191 210 1.11
40334 210 1.12
40405 210 1.13
40476 210 1.15
40548 210 1.16
40619 210 1.17
40667 210 1.18
40714 210 1.19
40762 210 1.20
40905 210 1.19
40976 210 1.18
41048 210 1.17
41191 210 1.13
41238 210 1.12
41286 210 1.11
41334 210 1.10
41548 210 1.15
41585 210 1.16
41762 210 1.15
41810 210 1.14
41857 210 1.13
41905 210 1.12
42048 210 1.09
42119 210 1.08
42191 210 1.06
42334 210 1.03
42381 210 1.02
42429 210 1.01
42476 210 1.00
42691 210 1.02
42762 210 1.04
42905 210 1.08
42976 210 1.10
43048 210 1.12
43262 210 1.14
43334 210 1.15
43381 210 1.16
43429 210 1.17
43476 210 1.18
43524 210 1.19
43572 210 1.20
43619 210 1.21
43691 210 1.19
43762 210 1.17
43834 210 1.15
43905 210 1.13
43976 210 1.11
44048 210 1.09
44119 210 1.07
44191 210 1.05
44405 210 1.07
44476 210 1.08
44619 210 1.11
44667 210 1.12
44714 210 1.13
44762 210 1.14
44905 210 1.13
44976 210 1.12
45119 210 1.11
45191 210 1.10
45262 210 1.09
45334 210 1.08
45476 210 1.09
45548 210 1.10
45619 210 1.11
45691 210 1.12
45762 210 1.13
45834 210 1.14
45905 210 1.15
46192 210 1.05  
47905 210 1.10  
48048 210 1.12  
48192 210 1.15
48262 210 1.12
48334 210 1.09
48405 210 1.06
48476 210 1.03
48548 210 1.00
48619 210 0.97
48691 210 0.94
48763 210 0.91
48905 210 0.93
48953 210 0.95
49000 210 0.96
49048 210 0.98
49191 210 1.02
49238 210 1.04
49286 210 1.05
49334 210 1.07
49476 210 1.09
49548 210 1.07
49619 210 1.04
49691 210 1.02
49762 210 1.00
49810 210 0.98
49857 210 0.97
49905 210 0.95
50048 210 0.97
50119 210 0.99
50191 210 1.02
50238 210 1.03
50286 210 1.05
50334 210 1.07
50381 210 1.08
50429 210 1.10
50476 210 1.11
50548 210 1.14
50619 210 1.16
50691 210 1.19
50762 210 1.21
50905 210 1.19
50953 210 1.17
51000 210 1.16
51048 210 1.14
51119 210 1.12
51191 210 1.10
51262 210 1.07
51334 210 1.05
51476 210 1.07
51524 210 1.08
51572 210 1.10
51619 210 1.11
51762 210 1.15
51834 210 1.17
51905 210 1.19
52048 210 1.23
52095 210 1.24
52143 210 1.26
52191 210 1.27
52334 210 1.28
52405 210 1.30
52476 210 1.31
52524 210 1.32
52572 210 1.33
52619 210 1.34
52667 210 1.35
52714 210 1.36
52762 210 1.37
52834 210 1.34
52905 210 1.31
52976 210 1.28
53048 210 1.25
53119 210 1.22
53191 210 1.19
53262 210 1.16
53334 210 1.13
53476 210 1.15
53524 210 1.17
53572 210 1.18
53619 210 1.20
53762 210 1.24
53810 210 1.26
53857 210 1.27
53905 210 1.29
54048 210 1.25
54119 210 1.23
54191 210 1.21
54262 210 1.19
54334 210 1.17
54381 210 1.16
54429 210 1.14
54476 210 1.13
54619 210 1.09
54691 210 1.07
54762 210 1.05
55049 210 1.00
61905 210 1.05
62048 210 1.10
62119 210 1.15
62191 210 1.20
62334 210 1.25
62476 210 1.20
62762 210 1.15
62905 210 1.10
63191 210 1.05
63334 210 1.00
70976 210 2.00
71119 210 1.00
75334 210 0.98
75405 210 0.96
75476 210 0.94
75512 210 0.93
75548 210 0.92
75619 210 0.90
84191 210 0.92
84334 210 0.94
84405 210 0.95
84477 210 0.96
84619 210 0.98
84762 210 1.00
91548 210 1.80
92762 210 1.00
93262 210 2.00
93405 210 1.00
93906 210 1.20
93953 210 1.22
94000 210 1.25
94048 210 1.27
94119 210 1.31
94191 210 1.34
94262 210 1.38
94334 210 1.41
94405 210 1.45
94476 210 1.48
94512 210 1.45
94619 210 1.42
94655 210 1.39
94762 210 1.36
94798 210 1.33
94905 210 1.35
94953 210 1.37
95000 210 1.39
95048 210 1.41
95189 210 1.39
95260 210 1.37
95332 210 1.40
95368 210 1.41
95474 210 1.43
95511 210 1.44
95617 210 1.45
95654 210 1.46
95760 210 1.45
95808 210 1.43
95857 210 1.41
95905 210 1.39
96048 210 1.47
96095 210 1.44
96143 210 1.41
96191 210 1.38
96238 210 1.35
96286 210 1.32
96334 210 1.29
96381 210 1.26
96429 210 1.23
96476 210 1.20
96762 210 1.20
96798 210 1.23
96905 210 1.26
96941 210 1.29
97048 210 1.32
97084 210 1.35
97191 210 1.33
97238 210 1.31
97286 210 1.29
97334 210 1.27
97476 210 1.30
97512 210 1.31
97619 210 1.35
97762 210 1.40
97798 210 1.42
97905 210 1.40
98048 210 1.42
98119 210 1.43
98191 210 1.45
98334 210 1.48
98476 210 1.45
98524 210 1.43
98572 210 1.41
98619 210 1.38
98691 210 1.35
98762 210 1.32
98834 210 1.28
98905 210 1.25
98976 210 1.22
99046 210 1.25
99083 210 1.22
99189 210 1.19
99225 210 1.16
99332 210 1.13
99368 210 1.10
99474 210 1.12
99523 210 1.14
99571 210 1.16
99617 210 1.18
99762 210 1.23
99834 210 1.21
99905 210 1.24
99941 210 1.25
100048 210 1.27
100084 210 1.28
100191 210 1.29
100226 210 1.30
100334 210 1.29
100405 210 1.28
100476 210 1.27
100524 210 1.24
100572 210 1.21
100619 210 1.18
100667 210 1.15
100714 210 1.12
100763 210 1.09
103119 210 1.07
103191 210 1.05
103262 210 1.03
103334 210 1.01
103405 210 0.99
103476 210 0.97
103548 210 0.95
103620 210 0.93
103655 210 0.94
103762 210 0.98
103798 210 1.00
103905 210 1.04
103941 210 1.05
104048 210 1.09
104095 210 1.11
104143 210 1.13
104191 210 1.15
104334 210 1.13
104405 210 1.12
104476 210 1.10
