..\Music\V^3\Music.mp3 
V^3 (Hello World)
ZiGZaG HACKER
..\Music\V^3\Note.txt
..\Music\V^3\Image.jpg
7.67
914 84
15 230 1.00
4188 230 0.75
7841 230 4.00
7906 230 1.25
15536 230 2.00
16449 230 4.00
16710 230 1.25
19841 230 2.00
20884 230 1.25
24014 230 2.00
25056 175 1.00
27798 180 1.00
30465 185 1.00
33060 190 1.00
35586 195 1.00
36817 200 1.00
38017 205 1.00
39187 210 1.00
40329 216 1.00
41441 226 1.00
41971 231 1.00
42490 236 1.00
42998 240 1.00
43498 245 1.00
43988 250 1.00
44468 255 1.00
44939 260 1.00
45400 265 1.00
45853 270 1.00
47963 270 2.00
48130 270 1.00
52519 270 2.00
52520 135 1.00
53074 135 1.50
58741 150 1.00
65141 160 1.00
65891 165 1.00
66618 170 1.00
67324 175 1.00
68009 180 1.00
68676 185 1.00
69325 190 1.00
69956 195 1.00
70572 210 1.00
71143 220 1.00
71689 230 1.00
72210 240 1.00
72710 250 1.00
73190 260 1.00
73652 270 1.00
74096 280 1.00
74525 290 1.00
74939 300 1.00
75339 310 1.00
75726 320 1.00
76101 330 1.00
76464 340 1.00
76817 350 1.00
77160 360 1.00
77493 370 1.00
77818 390 1.00
78125 420 1.00
78411 440 1.00
78684 460 1.00
79206 500 1.00
79446 520 1.00
79676 540 1.00
79899 560 1.00
80113 580 1.00
80320 600 1.00
80520 620 1.00
80907 640 1.00
81283 320 1.00
81329 320 2.00
81376 320 0.50
84563 320 4.00
84611 320 0.50
85397 580 1.00
85397 580 0.60
92017 580 0.70
99052 580 1.50
99339 580 2.00
99879 580 8.33
100397 580 4.00
